Organization,AwardYear,AWARD_SUM,AWARD_COUNT,AverageAwardDuration,Award Total
Boise State University,2001,921969,4,2.5,
BOSSA NOVA TECHNOLOGIES LLC,2007,279179,2,1,
"Boston Applied Technologies, Incorporated",2008,249956,2,0.5,
"Boston Applied Technologies, Incorporated",2005,1071224,2,2.5,
"Boston Applied Technologies, Incorporated",2004,625472,2,1.5,
"Boston Applied Technologies, Incorporated",2003,299933,3,0.333333333,
Boston College,2012,4250329,19,3.052631579,
Boston College,2011,2326868,15,2.866666667,
Boston College,2010,3661852,11,3.272727273,
Boston College,2009,4171627,12,3.166666667,
Boston College,2008,4928363,16,3.0625,
Boston College,2007,5895112,17,4,
Boston College,2006,6486502,15,3.533333333,
Boston College,2005,7164705,13,4,
Boston College,2004,2874119,9,3.555555556,
Boston College,2003,3028891,13,2.846153846,
Boston College,2002,3745253,12,3,
Boston College,2001,2633315,8,3.125,
BOSTON MICROSYSTEMS INC,2003,1115034,2,2,
BOSTON MICROSYSTEMS INC,2002,200000,2,0.5,
Boston Public Schools,2001,10446123,2,6.5,
Botanical Society of America,2011,139850,2,3,
Botanical Society of America,2007,2508617,2,5,
Bowdoin College,2012,611835,4,3,
Bowdoin College,2011,1548616,7,2.857142857,
Bowdoin College,2010,917785,4,3.5,
Bowdoin College,2008,1714298,11,3.272727273,
Bowdoin College,2007,994558,3,5,
Bowdoin College,2006,178658,2,2.5,
Bowdoin College,2005,956360,7,3.428571429,
Bowdoin College,2004,427319,3,2.333333333,
Bowdoin College,2003,1208943,5,3.8,
Bowdoin College,2002,667634,5,2.8,
Bowdoin College,2001,1379738,7,3.428571429,
Bowie State University,2012,762900,3,2.666666667,
Bowie State University,2010,685106,3,2.333333333,
Bowling Green State University,2012,3716545,7,2.857142857,
Bowling Green State University,2011,1000000,3,3,
Bowling Green State University,2010,3322675,5,3.4,
Bowling Green State University,2009,3184951,7,3.714285714,
Bowling Green State University,2008,4066620,5,4,
Bowling Green State University,2007,781144,3,3.333333333,
Bowling Green State University,2006,392779,4,4,
Bowling Green State University,2005,1432166,5,3.6,
Bowling Green State University,2004,418234,2,4,
Bowling Green State University,2003,3341589,10,3.2,
Bowling Green State University,2002,1038857,4,3,
Bowling Green State University,2001,1847687,9,3.333333333,
Boyce Thompson Institute Plant Research,2012,572578,2,2.5,
Boyce Thompson Institute Plant Research,2011,492744,2,3,
Boyce Thompson Institute Plant Research,2010,2326857,2,3,
Boyce Thompson Institute Plant Research,2009,11002416,5,3.8,
Boyce Thompson Institute Plant Research,2008,1560270,4,2.5,
Boyce Thompson Institute Plant Research,2007,1992931,4,3.5,
Boyce Thompson Institute Plant Research,2006,2373051,2,3,
Boyce Thompson Institute Plant Research,2005,5090716,5,4.4,
Boyce Thompson Institute Plant Research,2004,2926751,5,4.6,
Boyce Thompson Institute Plant Research,2003,788294,2,2.5,
Boyce Thompson Institute Plant Research,2002,451100,4,2.75,
Boyce Thompson Institute Plant Research,2001,7031359,10,4,
Bradley University,2008,812817,2,5,
Bradley University,2005,440683,2,2.5,
Bradley University,2004,289896,2,4,
Bradley University,2003,971500,3,3,
Bradley University,2002,992441,4,2.75,
Bradley University,2001,447063,3,3,
Brandeis University,2012,4296695,11,3.181818182,
Brandeis University,2011,2473566,11,3.363636364,
Brandeis University,2010,2349943,7,3.142857143,
Brandeis University,2009,4285506,13,3.153846154,
Brandeis University,2008,8147512,14,3.357142857,
Brandeis University,2007,2832720,9,3.666666667,
Brandeis University,2006,6400686,9,3.888888889,
Brandeis University,2005,3417458,9,3.888888889,
Brandeis University,2004,7326826,12,3.583333333,
Brandeis University,2003,4017278,12,3.833333333,
Brandeis University,2002,1321071,7,3.428571429,
Brandeis University,2001,1753377,9,3.333333333,
Brevard Community College,2001,654922,2,3,
"Bridger Photonics, INC",2010,615801,3,0.666666667,
"Bridger Photonics, INC",2009,899903,2,2.5,
"Bridger Photonics, INC",2008,325000,2,0.5,
"Bridger Photonics, INC",2007,300000,2,1,
Brigham & Women's Hospital Inc,2012,2449980,2,4.5,
Brigham & Women's Hospital Inc,2009,410000,2,3,
Brigham Young University,2012,5870345,14,2.928571429,
Brigham Young University,2011,7385058,19,3.157894737,
Brigham Young University,2010,4354124,20,2.7,
Brigham Young University,2009,4945560,25,3,
Brigham Young University,2008,4681826,18,2.833333333,
Brigham Young University,2007,3152017,15,2.466666667,
Brigham Young University,2006,5159026,13,3.769230769,
Brigham Young University,2005,8548294,19,3.842105263,
Brigham Young University,2004,4527165,10,4.2,
Brigham Young University,2003,3231391,8,3.25,
Brigham Young University,2002,4753781,9,3.666666667,
Brigham Young University,2001,1289682,10,2.6,
Bristol Community College,2002,709632,2,5.5,
Brookings Institution,2006,836291,2,1,
Brown University,2012,13899456,52,2.692307692,
Brown University,2011,14227008,55,2.690909091,
Brown University,2010,25516154,64,2.796875,
Brown University,2009,33732935,88,3.136363636,
Brown University,2008,16598931,51,3.490196078,
Brown University,2007,19160791,58,3.379310345,
Brown University,2006,16365872,60,3.616666667,
Brown University,2005,26784789,49,3.734693878,
Brown University,2004,20968717,47,3.617021277,
Brown University,2003,13575897,53,3.603773585,
Brown University,2002,13331207,39,3.487179487,
Brown University,2001,15973879,50,3.3,
Bryn Mawr College,2012,650709,5,2.4,
Bryn Mawr College,2011,1132125,5,2.8,
Bryn Mawr College,2010,672390,5,2.2,
Bryn Mawr College,2009,1794226,7,3.428571429,
Bryn Mawr College,2007,905908,2,4.5,
Bryn Mawr College,2006,400387,4,2.75,
Bryn Mawr College,2005,313726,3,4,
Bryn Mawr College,2004,416484,5,3.2,
Bryn Mawr College,2003,209090,2,2,
Bryn Mawr College,2002,1221816,5,4.4,
Bucknell University,2012,1403095,9,3,
Bucknell University,2011,291209,3,3.333333333,
Bucknell University,2010,1205095,7,2.857142857,
Bucknell University,2009,841544,6,2.666666667,
Bucknell University,2008,1435032,6,3.333333333,
Bucknell University,2007,1699150,11,3.272727273,
Bucknell University,2006,112953,2,2.5,
Bucknell University,2005,1246661,4,3.25,
Bucknell University,2004,634331,4,3.5,
Bucknell University,2003,533939,4,3.75,
Bucknell University,2002,449361,3,3.333333333,
Bureau of the Census,2012,4889846,3,2.666666667,
Bureau of the Census,2011,5525418,5,0.8,
BUREAU OF THE CENSUS,2010,559134,4,0.75,
Bureau of the Census,2009,546900,3,1.666666667,
Bureau of the Census,2008,17261913,5,2.6,
Bureau of the Census,2007,8944457,4,1.75,
Bureau of the Census,2005,1932480,3,3.333333333,
Bureau of the Census,2002,26062783,3,7,
Bureau of the Census,2001,24959443,5,4.6,
Burlington County College,2001,340811,2,3.5,
Butler University,2012,338073,2,3,
Butler University,2009,1107423,3,3.666666667,
Cabrillo College,2008,2040509,2,5,
Cabrillo College,2003,845348,2,4.5,
"Cal Poly Pomona Foundation, Inc.",2012,177788,3,3.333333333,
"Cal Poly Pomona Foundation, Inc.",2011,1798805,2,4,
"Cal Poly Pomona Foundation, Inc.",2010,1463828,4,3.25,
"Cal Poly Pomona Foundation, Inc.",2009,2118194,4,3.25,
"Cal Poly Pomona Foundation, Inc.",2008,473321,2,1.5,
"Cal Poly Pomona Foundation, Inc.",2007,1177646,3,3.666666667,
"Cal Poly Pomona Foundation, Inc.",2004,1333922,6,3,
"Cal Poly Pomona Foundation, Inc.",2003,217173,2,2.5,
"Cal Poly Pomona Foundation, Inc.",2002,465577,2,3,
Calhoun Community College,2009,736354,2,3.5,
California Academy of Sciences,2012,771055,3,2.333333333,
California Academy of Sciences,2011,972299,3,2.333333333,
California Academy of Sciences,2010,287030,2,4,
California Academy of Sciences,2009,2018694,2,4,
California Academy of Sciences,2008,399964,2,3,
California Academy of Sciences,2007,803389,2,5,
California Academy of Sciences,2006,819303,2,4,
California Academy of Sciences,2005,716670,3,4.666666667,
California Academy of Sciences,2004,1633313,4,5.25,
California Academy of Sciences,2003,3785868,5,2.6,
California Academy of Sciences,2002,2761991,6,2.5,
California Academy of Sciences,2001,186387,2,2.5,
California Institute of Technology,2012,22448994,69,2.826086957,
California Institute of Technology,2011,20682312,50,2.86,
California Institute of Technology,2010,28524122,71,2.85915493,
California Institute of Technology,2009,54607956,82,3.024390244,
California Institute of Technology,2008,337329336,52,3.461538462,
California Institute of Technology,2007,18620307,55,3.254545455,
California Institute of Technology,2006,53156994,70,3.342857143,
California Institute of Technology,2005,43327134,63,3.507936508,
California Institute of Technology,2004,34778419,66,3.378787879,
California Institute of Technology,2003,47979073,62,3.338709677,
California Institute of Technology,2002,30189366,74,3.256756757,
California Institute of Technology,2001,254647285,75,3.066666667,
California Lutheran University,2001,279214,2,3,
California Polytechnic State University Foundation,2012,2134559,9,2.555555556,
California Polytechnic State University Foundation,2011,1871119,10,2.7,
California Polytechnic State University Foundation,2010,3158433,14,3.071428571,
California Polytechnic State University Foundation,2009,2226218,8,3,
California Polytechnic State University Foundation,2008,1306109,8,3.875,
California Polytechnic State University Foundation,2007,2674728,13,3.384615385,
California Polytechnic State University Foundation,2006,878403,4,3.5,
California Polytechnic State University Foundation,2005,1928773,4,3.5,
California Polytechnic State University Foundation,2004,613674,3,3.666666667,
California Polytechnic State University Foundation,2003,615848,2,5,
California Polytechnic State University Foundation,2002,2371783,7,4.428571429,
California Polytechnic State University Foundation,2001,289410,4,2.25,
California State L A University Auxiliary Services Inc.,2012,1447053,4,3,
California State L A University Auxiliary Services Inc.,2011,2658478,7,2.857142857,
California State L A University Auxiliary Services Inc.,2010,2635854,6,2.833333333,
California State L A University Auxiliary Services Inc.,2009,5175665,7,3.857142857,
California State L A University Auxiliary Services Inc.,2008,4441637,6,4.166666667,
California State L A University Auxiliary Services Inc.,2007,991212,3,3.666666667,
California State L A University Auxiliary Services Inc.,2006,3974064,10,4.2,
California State L A University Auxiliary Services Inc.,2005,549984,2,4.5,
California State L A University Auxiliary Services Inc.,2004,5362363,7,4.428571429,
California State L A University Auxiliary Services Inc.,2003,7119293,9,3,
California State L A University Auxiliary Services Inc.,2002,2548779,8,3.75,
California State L A University Auxiliary Services Inc.,2001,1001904,3,4.333333333,
California State University Bakersfield Foundation,2003,361138,2,3,
California State University Monterey Bay Foundation,2003,337995,3,2.666666667,
"California State University, Chico Research Fdtn",2012,876255,3,2.333333333,
"California State University, Chico Research Fdtn",2011,956728,2,3,
"California State University, Chico Research Fdtn",2010,500233,4,2.75,
"California State University, Chico Research Fdtn",2009,855671,3,3,
"California State University, Chico Research Fdtn",2008,420149,4,3,
"California State University, Chico Research Fdtn",2007,1515709,2,5,
"California State University, Chico Research Fdtn",2006,33963,2,2.5,
"California State University, Chico Research Fdtn",2003,1071312,5,4.2,
"California State University, Chico Research Fdtn",2002,301386,3,4,
"California State University, East Bay Foundation, Inc.",2010,7330264,3,3,
"California State University, East Bay Foundation, Inc.",2008,876000,2,3,
"California State University, East Bay Foundation, Inc.",2004,878571,3,3,
"California State University, Trustees",2002,761692,2,4,
California State University-Bakersfield,2012,2290362,3,3.666666667,
California State University-Bakersfield,2011,1263700,2,4,
California State University-Bakersfield,2009,2224200,5,3.6,
California State University-Dominguez Hills,2012,218408,2,3,
California State University-Dominguez Hills,2010,1168903,2,4,
California State University-Dominguez Hills,2009,555676,3,2.666666667,
California State University-Dominguez Hills,2008,1150430,3,3.666666667,
California State University-Fresno Foundation,2012,418175,2,3,
California State University-Fresno Foundation,2011,1006848,7,2.571428571,
California State University-Fresno Foundation,2010,1285131,4,2.75,
California State University-Fresno Foundation,2009,4187492,6,3.833333333,
California State University-Fresno Foundation,2007,1036006,5,2.8,
California State University-Fresno Foundation,2005,126432,2,3,
California State University-Fresno Foundation,2004,325726,3,1.333333333,
California State University-Fresno Foundation,2002,881576,3,3.666666667,
California State University-Fresno Foundation,2001,130973,2,3.5,
California State University-Fullerton Foundation,2012,1990512,9,2.555555556,
California State University-Fullerton Foundation,2011,840492,7,2.285714286,
California State University-Fullerton Foundation,2010,5729150,12,3.083333333,
California State University-Fullerton Foundation,2009,4153166,7,2.857142857,
California State University-Fullerton Foundation,2008,2953242,4,4.25,
California State University-Fullerton Foundation,2007,1416580,8,3.625,
California State University-Fullerton Foundation,2006,1209089,4,3.75,
California State University-Fullerton Foundation,2005,1403419,4,4,
California State University-Fullerton Foundation,2004,1212932,7,3.571428571,
California State University-Fullerton Foundation,2003,7220414,3,3.666666667,
California State University-Fullerton Foundation,2002,2216896,8,4.375,
California State University-Fullerton Foundation,2001,1261449,5,3.8,
California State University-Long Beach,2001,197168,2,1,
California State University-Long Beach Foundation,2012,560537,4,2,
California State University-Long Beach Foundation,2011,1190407,6,3,
California State University-Long Beach Foundation,2010,1244595,5,3.2,
California State University-Long Beach Foundation,2009,2831777,10,3.4,
California State University-Long Beach Foundation,2008,976130,5,3.2,
California State University-Long Beach Foundation,2007,2464404,10,3.6,
California State University-Long Beach Foundation,2006,403195,2,3,
California State University-Long Beach Foundation,2004,2646054,11,3.909090909,
California State University-Long Beach Foundation,2003,772789,7,2.857142857,
California State University-Long Beach Foundation,2002,470332,4,2.5,
California State University-Long Beach Foundation,2001,1471892,5,3.6,
California State University-Los Angeles,2001,473000,2,3.5,
California State University-San Bernardino Foundation,2012,1199580,2,4,
California State University-San Bernardino Foundation,2010,5983621,6,4,
California State University-San Bernardino Foundation,2009,3902667,5,4,
California State University-San Bernardino Foundation,2006,670978,2,4.5,
California State University-San Bernardino Foundation,2003,472283,3,2.666666667,
California State University-San Bernardino Foundation,2002,227067,2,2.5,
California State University-San Bernardino Foundation,2001,786298,2,3.5,
California State University-Stanislaus,2012,64016,2,3,
California State University-Stanislaus,2009,1018980,2,4,
Calvin College,2012,515711,4,3.5,
Calvin College,2011,551197,3,2.666666667,
Calvin College,2010,1633643,5,2.8,
Calvin College,2009,1828473,6,3.333333333,
Calvin College,2008,243912,2,2.5,
Calvin College,2007,454409,3,3.333333333,
Calvin College,2006,978875,2,4.5,
Calvin College,2005,264337,3,3.333333333,
Calvin College,2004,384588,3,2.666666667,
Calvin College,2002,423815,5,3.2,
Cambrian Innovation LLC,2011,680000,2,1,
Cambrian Innovation LLC,2010,298380,2,0.5,
CAMBRIDGE POLYMER GROUP INC,2001,195230,2,0,
Canisius College,2010,656581,2,4.5,
Canisius College,2008,368018,2,3.5,
Canisius College,2004,164481,2,4,
"Cape Cod Research, Inc.",2002,622160,2,1.5,
Carleton College,2012,644388,3,3.666666667,
Carleton College,2011,2724703,7,3.142857143,
Carleton College,2010,3254576,6,3.333333333,
Carleton College,2009,786504,2,3.5,
Carleton College,2008,1105687,6,3,
Carleton College,2007,2021611,5,3.6,
Carleton College,2006,858258,3,3.333333333,
Carleton College,2005,764451,3,3.333333333,
Carleton College,2004,1404275,5,2.8,
Carleton College,2003,1333740,5,3.2,
Carleton College,2002,1361669,3,3.666666667,
Carleton College,2001,1848114,8,3.875,
Carnegie Institute,2012,475234,3,3,
Carnegie Institute,2008,453212,2,4,
Carnegie Institute,2006,846895,2,4.5,
